Word,Meaning,Date
macaronic,composed of a mixture of languages.,"Thursday, January 21, 2021"
inaugurate,to induct into office with formal ceremonies; install.,"Wednesday, January 20, 2021"
mammonism,the greedy pursuit of riches.,"Tuesday, January 19, 2021"
inextricably,in a way that is unable to be separated or disentangled.,"Monday, January 18, 2021"
beamish,"bright, cheerful, and optimistic.","Sunday, January 17, 2021"
terrene,earthly; worldly.,"Saturday, January 16, 2021"
ergo,therefore.,"Friday, January 15, 2021"
discombobulate,to confuse or disconcert; upset; frustrate.,"Thursday, January 14, 2021"
umbrageous,apt to take offense.,"Wednesday, January 13, 2021"
bunkum,insincere talk; claptrap; humbug.,"Tuesday, January 12, 2021"
aoristic,indefinite; indeterminate.,"Monday, January 11, 2021"
guileless,sincere; honest; straightforward; frank.,"Sunday, January 10, 2021"
whithersoever,to whatever place.,"Saturday, January 09, 2021"
bel-esprit,a person of great wit or intellect.,"Friday, January 08, 2021"
prolixity,a tendency to speak or write at great or tedious length.,"Thursday, January 07, 2021"
procellous,"stormy, as the sea.","Wednesday, January 06, 2021"
shenanigans,mischief; prankishness.,"Tuesday, January 05, 2021"
nimiety,excess; overabundance.,"Monday, January 04, 2021"
frazil,"ice crystals formed in turbulent water, as in swift streams or rough seas.","Sunday, January 03, 2021"
handsel,"a gift or token for good luck or as an expression of good wishes, as at the beginning of the new year or when entering upon a new situation or enterprise.","Saturday, January 02, 2021"
carpe diem,"seize the day; enjoy the present, as opposed to placing all hope in the future.","Friday, January 01, 2021"
